,videoId,0
200,QNA-s8QdPXg,100
201,QSPw8NnUExY,100
202,QoFBeE9_9n4,100
203,Qq5Cwz0PDI4,100
204,QrkC8XKh3Vc,100
205,R-R8BPV9Tzw,100
206,R2-SXSXUt-Q,100
207,R2fbGSOstQc,100
208,ROp0FOfkYsk,99
209,RzMKCpq0um4,100
210,SG-4m0tFwAo,100
211,SG1xZnbe02Y,100
212,SGxzHBIMNe4,100
213,SNOwhFgc3cI,100
214,SXTRv0MbhG0,100
215,SjfkVndvTt0,40
216,TYLQEgOqBXo,100
217,TdKCSUeE2ok,100
218,TgJTo-_Op3Y,100
219,TgfDweSsSTc,68
220,Tv-rM29Y9QA,100
221,U-l-MzKpFHw,100
222,UEjeSxIujyI,17
223,UaF97jWDroA,100
224,Uh2vMbYWoFE,100
225,Uq62WeLn8Iw,18
226,UtRSTqSbURM,100
227,V-ZqO4cPjP4,32
228,VXIYIQHrK9s,35
229,VZ7siya4Ydw,4
230,VpU_CJE5npY,100
231,VzUQ7D0IADQ,100
232,VzhkPzWurEY,8
233,W0bjG-GVJZk,100
234,W6OrhL4fsUY,100
235,W80ar6kXP7c,100
236,WMg7d8UZuoU,100
237,WbPi8q7j0uI,51
238,WehpMPItpOs,100
239,WiJx2n9SYVg,100
240,WlRjcI3ogt8,100
241,WlfZsTCuJyE,59
242,Wlup_p26zlc,20
243,Wm0HxkaiT5Q,100
244,X6AqIJlie_w,100
245,XBEBdR_FGqM,100
246,XSO8fd20ij8,100
247,XTMy_LMJlek,42
248,XWfb9eggA0E,100
249,XdnyEWPY80U,98
250,Xh3AHSUch7c,15
251,XonK72suZ-I,100
252,Y5qDbKbfjw8,100
253,Y6BKpdKHdG4,100
254,YJfSj7WIN7E,100
255,YUTi5cdtr-s,68
256,YWdJtgpjgwg,59
257,YmBOYxFTtNM,100
258,Yr7KegeWqkk,100
259,Yv9L5rQQWxQ,100
260,Yz-uB5niuVQ,100
261,Z3kMX7sNWHA,100
262,Z8fddZqkSr0,100
263,ZBHINvm4s7c,100
264,ZQCHFD9v1nE,100
265,Zi9B5xD7Yu8,59
266,Zr7B0Jtgyck,100
267,_HIIayhw6mQ,33
268,_IJQHwktcsM,100
269,_KSTTj3R9ck,100
270,_R-3DhzXYLo,100
271,_XrNbsLxPsc,100
272,_idT5-dnynQ,31
273,_kKn5SH0gb8,100
274,_pzJ4b91vwA,100
275,agsvmKq1qQU,100
276,aswKofiB4lI,100
277,b6-f75V-htA,100
278,b65QOsXyKYw,16
279,bCEJMk7U74g,100
280,bG2pgDBMBbk,100
281,bGrXU5wFJF8,80
282,bKWVOjsFqUQ,60
283,bMlEDHoYY2Q,8
284,bQaDaWWAD9A,97
285,bZ_ZKefxkks,100
286,bniKmn19Tws,100
287,bw4eDC5-a1U,98
288,bxM710RcV1k,36
289,c3YsscFNepQ,63
290,cAwpbSHy2cs,100
291,cCVJuVeuP3k,100
292,cG1tUfzSYsk,100
293,cHFRheoHZzw,100
294,d5SWR0EnMuY,100
295,dA2EPSkG4EQ,100
296,dBWI9WPCNac,48
297,dJMQia4pzy0,49
298,dKC4pdzhxQ8,100
299,dOqZ39GFBkQ,100
