,videoId,0
0,-1SW66PDLzE,100
1,-2nkGjmgyho,100
2,-QyQEiBYNu0,100
3,-dI5qpQvgkY,100
4,-gt2OodCcZA,100
5,-nnIwRAGhxQ,9
6,0A2nwjcPsD4,100
7,0DgWyzZtBqs,1
8,0YAQKcb8KUQ,100
9,0qEV49-rkR0,57
10,0ruePQT9L6U,17
11,180pKvZ_Sho,100
12,1NBOMyVVW0c,31
13,1RLAXWlQEnk,45
14,1YzUThwBhGw,27
15,1kLokWVFAns,100
16,1pyE3O_V9x8,100
17,1yV2l8mLZ_Y,100
18,29anTYIgTaI,100
19,2HyUl7beevs,43
20,2IAxYW5Rbew,100
21,2P-jLJGA91U,62
22,2SARSi1LGwg,30
23,2n0XezymRzA,100
24,2rjrsoSZ5pk,100
25,2u_zWYJugkA,100
26,2vF5TXOAToo,100
27,30r6ix-CNYs,100
28,34fRemqIbUQ,100
29,38cDwfOsjYM,57
30,39a4Z4s-Kd8,77
31,3AQyJw0juLE,100
32,3Qqflaxu_RI,100
33,3YEh6SwbEYE,100
34,3bkXyFzBa2c,47
35,3cURrvXPskY,52
36,3d6dkqypX84,100
37,3khmJHdBolQ,38
38,435-VtUTAI4,100
39,4ARBMqhNzUo,100
40,4DgrcnzUpdg,100
41,4XmEKKMpwkc,100
42,4dlKe5dt750,100
43,4gynzZY7KIU,97
44,4llXS6uKxFE,100
45,4yEciNWcDAI,100
46,4z-9Z-t1sXE,100
47,5DQX-NLdbfU,100
48,5V4yhpv4Hwc,100
49,5tHngFqFssw,100
50,5uMVNR4USnE,100
51,65FC-l3L9n0,100
52,6KR7BW5xuBg,100
53,6X-OiVLlpBk,100
54,6f2FxhHjgpU,19
55,6jsTfkqxI5U,100
56,6t_o1kXzSwc,100
57,77UxpRj13Yc,100
58,7FuwpRZRsCA,100
59,7NXiwGwdQNc,91
60,7NdgmHIMWbk,11
61,7wzCLW6aErE,55
62,86fTfYGOlhU,100
63,8EpMo0Na8kc,30
64,8MUdeif_C_0,100
65,8PUQ9xLCurY,100
66,8cGlxc7Swi8,100
67,8vi8MQNACzg,100
68,98OfFjyLyiw,25
69,99vVxnlAJrg,100
70,9J-rZd00CEw,100
71,9e0Q5UEGDiU,100
72,9eu3Ji_OqX0,100
73,9fAJlTOIFvg,100
74,A92xDx9oOP0,199
75,AAq-Z1RMOk8,100
76,AEuQJhhcL7A,100
77,AKOPRYHx-3I,69
78,APnAoSPi8Vs,90
79,BThlz0SDQpA,65
80,BVBusebseKY,78
81,BYcb3Uc-ASc,27
82,Bkp8i_ljlkU,60
83,Bo83Y1-UKl8,25
84,ByxqGQcVbL0,64
85,CKWHX_tA5gA,100
86,CLtLLvvQS_U,100
87,CobZtxERum4,3
88,Csg_FbBBCwE,100
89,CxnXT-fsSHA,26
90,D47Hvq_JUck,100
91,DBummZM6v4I,100
92,DE-BHEDzI8E,23
93,DNu-8FV0mgc,100
94,DTCWnkQTWy4,65
95,DWf2DeO_scY,100
96,DaEldvLpipI,100
97,DcKZc5gFCx4,100
98,Ds7-zmUn2oE,95
99,DyLDxv5M8T0,36
