,videoId,0
100,E4Gy_DrQlIQ,100
101,E8I5oIm4rUY,100
102,EFwrmwSJnno,100
103,EG3qU2mNz9c,100
104,ERdo9ACJREM,100
105,EbErC7QRsy0,95
106,Eosk58fZIq4,100
107,Ep_lbakxNm8,33
108,F6xVmu8JhH0,100
109,FZcBx_-gXfk,81
110,FrwICPI4RUg,32
111,Fx_PdOtlQfs,100
112,G3G4jMNPpvA,42
113,GDBY6VYadgk,100
114,GH61J8tjXzA,18
115,GN0JClJjiQs,100
116,GZlxKJ4_9L4,100
117,G_fXgIqQk_s,100
118,GlRmx1cHfac,100
119,GnesyaZGUmE,4
120,GzMHzK71IFk,100
121,H8il0wtM9wU,100
122,H9ixTDgvUrE,100
123,HT8fRW7EFYM,100
124,HU1rgmAySXo,100
125,HWFu6XqYFfY,81
126,HWLuNQUzqAw,100
127,I8__R-9OwwA,100
128,IERQ_fJ7f3w,100
129,IH0CXQEswKM,100
130,IJANmJapONM,100
131,IRJvZJBUX3A,100
132,IiNlvUNQlbI,100
133,Iu9_tttED5o,100
134,Iv42ZQYvFfg,55
135,J0TUGGXdfIw,100
136,JBLJ8Ia2W0Q,100
137,JE33xcHOkRI,40
138,JKluxe87OVw,100
139,JMBEKGPDA3I,100
140,JNmUilc2uNA,8
141,JPW3u73oc64,100
142,JQ3PsKTV4-M,100
143,JgsUcFZvU8I,100
144,K-eNUYztL0k,50
145,K2poDt6SfXo,100
146,KKRIyGedmAU,31
147,KLp0EAmTDa4,100
148,KWsAeAdpc4g,100
149,KZAPJ79Eh-Q,100
150,Kd1YUKcbRls,100
151,KnQja-kuPPA,37
152,L0GZwYcZr-E,100
153,L8mXhkDqcek,100
154,LD2RcukT2bw,100
155,LaD6HautDAE,34
156,LkH3fb8Ugl4,100
157,LyfcqUBmBlc,100
158,M5JjMOTFVRk,100
159,M9Kq8SwdGxk,100
160,MLPwaua6Lbw,100
161,MPV41NV0fJs,100
162,MRR4nzdenyI,100
163,MZ5oW0zTFMA,100
164,M_4JL6wBAeQ,100
165,Ma-TIlaxNhU,28
166,Mm62krQfb5A,67
167,MnDrOnhxWDc,100
168,NIBKNJCXmXo,100
169,NIhF6KI3Eio,100
170,NIvEdD_fSps,100
171,NKSKyo0-m30,100
172,NPqXl9oe3-M,20
173,NQNPQG-yZJ0,66
174,NTCgV3H8ukY,100
175,NeMXexdOX-4,100
176,NssL18P1lrE,100
177,Ntwr3DtKJD4,41
178,O39l0MUwTJ4,100
179,O9z9Bvi-s_w,100
180,OA-c8F9tGHg,100
181,OCSQ4ERb3xs,22
182,OMxF0l7D7Ao,100
183,OTHvyARqx_o,100
184,OVT_EUQFQ6Q,100
185,Oikl21gsnLc,100
186,Ox-mEQBxJX0,100
187,P0jIxFaaYdk,100
188,P3WEPV54uCY,100
189,PF2YAJpIEwU,100
190,PNsgUjnbzHk,100
191,PNyyZHEQjKA,93
192,PPDQODEvw4g,60
193,PVZkPnDZMwg,100
194,Peceo9gOkO0,100
195,Q072Btbp5BE,199
196,Q0g9lWI0xzE,100
197,Q1R59Hw1Urg,100
198,QIktAhd6F88,100
199,QLaH300L9H4,100
